player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Damian Jones,2305057.00,3457585.00,0.00,0.00
Darius Bazley,2284800.00,2399160.00,2513040.00,4264628.00
OG Anunoby,2281800.00,3872215.00,5634072.00,0.00
Ante Zizic,2281800.00,0.00,0.00,0.00
Luke Kornet,2250000.00,2250000.00,0.00,0.00
Monta Ellis,2245400.00,2245400.00,2245400.00,0.00
Aaron Holiday,2239200.00,2345640.00,3980551.00,5791701.00
Ty Jerome,2193480.00,2303040.00,2412840.00,4220057.00
Willie Cauley-Stein,2177483.00,0.00,0.00,0.00
Kyle O'Quinn,2174318.00,0.00,0.00,0.00
Austin Rivers,2174310.00,2436046.00,0.00,0.00
Anfernee Simons,2149560.00,2252040.00,3938818.00,5758551.00
Matt Barnes,2133542.00,0.00,0.00,0.00
Nassir Little,2105520.00,2210640.00,2316240.00,4171548.00
Moritz Wagner,2063520.00,2161920.00,3893618.00,5719724.00
Dylan Windler,2035800.00,2137440.00,2239200.00,4037277.00
Caleb Swanigan,2033160.00,0.00,0.00,0.00
Ben McLemore,2028594.00,2283034.00,0.00,0.00
Mike Muscala,2028594.00,2283034.00,0.00,0.00
Troy Daniels,2028594.00,0.00,0.00,0.00
Michael Carter-Williams,2028594.00,0.00,0.00,0.00
Trey Burke,2028594.00,0.00,0.00,0.00
Spencer Hawes,2007058.00,2007058.00,0.00,0.00
Edmond Sumner,2000000.00,2160000.00,2320000.00,0.00
Torrey Craig,2000000.00,0.00,0.00,0.00
Noah Vonleh,2000000.00,0.00,0.00,0.00
Landry Shamet,1995120.00,2090040.00,3768342.00,5562072.00
Mfiondu Kabengele,1977000.00,2075880.00,2174880.00,3923483.00
Kyle Kuzma,1974600.00,3562178.00,5282711.00,0.00
Jordan Poole,1964760.00,2063280.00,2161440.00,3901399.00
Tony Bradley,1962360.00,3542060.00,5277669.00,0.00
Keldon Johnson,1950600.00,2048040.00,2145720.00,3873024.00
Derrick White,1948080.00,3516284.00,5274427.00,0.00
Robert Williams,1937520.00,2029920.00,3661976.00,5430710.00
Josh Hart,1934160.00,3491159.00,5236738.00,0.00
Jacob Evans,1928280.00,2019960.00,3646027.00,5432581.00
Anderson Varejao,1913345.00,1913345.00,0.00,0.00
Dzanan Musa,1911600.00,2002800.00,3615054.00,5429079.00
Omari Spellman,1897800.00,1988280.00,3588845.00,5383267.00
James Ennis,1882867.00,2130023.00,0.00,0.00
Glenn Robinson III,1882867.00,0.00,0.00,0.00
Nerlens Noel,1882867.00,0.00,0.00,0.00
Larry Sanders,1865546.00,1865546.00,1865546.00,1865546.00
Bruno Caboclo,1845301.00,0.00,0.00,0.00
Shabazz Napier,1845301.00,0.00,0.00,0.00
Mario Hezonja,1737145.00,1977011.00,0.00,0.00
JaKarr Sampson,1737145.00,0.00,0.00,0.00
Raul Neto,1737145.00,0.00,0.00,0.00
Emmanuel Mudiay,1737145.00,0.00,0.00,0.00
Pat Connaughton,1723050.00,0.00,0.00,0.00
Jahlil Okafor,1702486.00,0.00,0.00,0.00
Rodions Kurucs,1699236.00,1780152.00,1861068.00,0.00
Jonah Bolden,1698450.00,1766550.00,1845000.00,0.00
Dragan Bender,1678854.00,1824003.00,0.00,0.00
David Nwaba,1678854.00,1824003.00,0.00,0.00
Marquese Chriss,1678854.00,0.00,0.00,0.00
Cheick Diallo,1678854.00,1824003.00,0.00,0.00
Georges Niang,1645357.00,1783557.00,0.00,0.00
Christian Wood,1645357.00,0.00,0.00,0.00
Derrick Jones,1645357.00,0.00,0.00,0.00
Treveon Graham,1645357.00,0.00,0.00,0.00
Jordan McRae,1645357.00,0.00,0.00,0.00
Justin Patton,1620564.00,1762796.00,1970860.00,0.00
Furkan Korkmaz,1620564.00,1762796.00,0.00,0.00
Tyrone Wallace,1620564.00,0.00,0.00,0.00
Shaquille Harrison,1620564.00,0.00,0.00,0.00
Tim Frazier,1620564.00,0.00,0.00,0.00
Jordan Bell,1620564.00,0.00,0.00,0.00
Semi Ojeleye,1618520.00,1752950.00,0.00,0.00
Dwayne Bacon,1618520.00,2023150.00,0.00,0.00
Dillon Brooks,1618520.00,0.00,0.00,0.00
Sterling Brown,1618520.00,0.00,0.00,0.00
Frank Jackson,1618520.00,0.00,0.00,0.00
Damyean Dotson,1618520.00,0.00,0.00,0.00
